Date,Province,Confirmed
2020/1/22,福建,1
2020/1/23,福建,5
2020/1/24,福建,10
2020/1/25,福建,18
2020/1/26,福建,35
2020/1/27,福建,59
2020/1/28,福建,80
2020/1/29,福建,84
2020/1/30,福建,101
2020/1/31,福建,120
2020/2/1,福建,144
2020/2/2,福建,159
2020/2/3,福建,179
2020/2/4,福建,194
2020/2/5,福建,205
2020/2/6,福建,215
2020/2/7,福建,224
2020/2/8,福建,239
2020/2/9,福建,250
2020/2/10,福建,261
2020/2/11,福建,267
2020/2/12,福建,272
2020/2/13,福建,279
2020/2/14,福建,281
2020/2/15,福建,285
2020/2/16,福建,287
2020/2/17,福建,290
2020/2/18,福建,292
2020/2/19,福建,293
2020/2/20,福建,293
2020/2/21,福建,293
2020/2/22,福建,293
2020/2/23,福建,293
2020/2/24,福建,293
2020/2/25,福建,294
2020/2/26,福建,294
2020/2/27,福建,296
2020/2/28,福建,296
2020/2/29,福建,296
2020/3/1,福建,296
2020/3/2,福建,296
2020/3/3,福建,296
2020/3/4,福建,296
2020/3/5,福建,296
2020/3/6,福建,296
2020/3/7,福建,296
2020/3/8,福建,296
2020/3/9,福建,296
2020/3/10,福建,296
2020/3/11,福建,296
2020/3/12,福建,296
2020/3/13,福建,296
2020/3/14,福建,296
2020/3/15,福建,296
2020/3/16,福建,296
2020/3/17,福建,296
2020/3/18,福建,296
2020/3/19,福建,296
2020/3/20,福建,299
2020/3/21,福建,303
2020/3/22,福建,307
2020/3/23,福建,313
2020/3/24,福建,318
2020/3/25,福建,322
2020/3/26,福建,328
2020/3/27,福建,331
2020/3/28,福建,337
2020/3/29,福建,338
2020/3/30,福建,340
2020/3/31,福建,343
2020/4/1,福建,345
2020/4/2,福建,345
2020/4/3,福建,349
2020/4/4,福建,350
2020/4/5,福建,350
2020/4/6,福建,350
2020/4/7,福建,351
2020/4/8,福建,351
2020/4/9,福建,351
2020/4/10,福建,351
2020/4/11,福建,351
2020/4/12,福建,352
2020/4/13,福建,352
2020/4/14,福建,353
2020/4/15,福建,353
2020/4/16,福建,353
2020/4/17,福建,354
2020/4/18,福建,355
2020/4/19,福建,355
2020/4/20,福建,355
2020/4/21,福建,355
2020/4/22,福建,355
2020/4/23,福建,355
2020/4/24,福建,355
2020/4/25,福建,355
2020/4/26,福建,355
2020/4/27,福建,355
2020/4/28,福建,355
2020/4/29,福建,355
2020/4/30,福建,356
2020/5/1,福建,356
2020/5/2,福建,356
2020/5/3,福建,356
2020/5/4,福建,356
2020/5/5,福建,356
2020/5/6,福建,356
2020/5/7,福建,356
2020/5/8,福建,356
2020/5/9,福建,356
2020/5/10,福建,356
2020/5/11,福建,356
2020/5/12,福建,356
2020/5/13,福建,356
2020/5/14,福建,356
2020/5/15,福建,356
2020/5/16,福建,356
2020/5/17,福建,356
2020/5/18,福建,356
2020/5/19,福建,356
2020/5/20,福建,356
2020/5/21,福建,356
2020/1/22,北京,14
2020/1/23,北京,22
2020/1/24,北京,36
2020/1/25,北京,41
2020/1/26,北京,68
2020/1/27,北京,80
2020/1/28,北京,91
2020/1/29,北京,111
2020/1/30,北京,114
2020/1/31,北京,139
2020/2/1,北京,168
2020/2/2,北京,191
2020/2/3,北京,212
2020/2/4,北京,228
2020/2/5,北京,253
2020/2/6,北京,274
2020/2/7,北京,297
2020/2/8,北京,315
2020/2/9,北京,326
2020/2/10,北京,337
2020/2/11,北京,342
2020/2/12,北京,352
2020/2/13,北京,366
2020/2/14,北京,372
2020/2/15,北京,375
2020/2/16,北京,380
2020/2/17,北京,381
2020/2/18,北京,387
2020/2/19,北京,393
2020/2/20,北京,395
2020/2/21,北京,396
2020/2/22,北京,399
2020/2/23,北京,399
2020/2/24,北京,399
2020/2/25,北京,400
2020/2/26,北京,400
2020/2/27,北京,410
2020/2/28,北京,410
2020/2/29,北京,411
2020/3/1,北京,413
2020/3/2,北京,414
2020/3/3,北京,414
2020/3/4,北京,418
2020/3/5,北京,418
2020/3/6,北京,422
2020/3/7,北京,426
2020/3/8,北京,428
2020/3/9,北京,428
2020/3/10,北京,429
2020/3/11,北京,435
2020/3/12,北京,435
2020/3/13,北京,436
2020/3/14,北京,437
2020/3/15,北京,442
2020/3/16,北京,452
2020/3/17,北京,456
2020/3/18,北京,469
2020/3/19,北京,480
2020/3/20,北京,491
2020/3/21,北京,504
2020/3/22,北京,514
2020/3/23,北京,537
2020/3/24,北京,558
2020/3/25,北京,561
2020/3/26,北京,566
2020/3/27,北京,569
2020/3/28,北京,573
2020/3/29,北京,577
2020/3/30,北京,577
2020/3/31,北京,580
2020/4/1,北京,580
2020/4/2,北京,582
2020/4/3,北京,584
2020/4/4,北京,585
2020/4/5,北京,586
2020/4/6,北京,587
2020/4/7,北京,587
2020/4/8,北京,588
2020/4/9,北京,588
2020/4/10,北京,588
2020/4/11,北京,589
2020/4/12,北京,589
2020/4/13,北京,589
2020/4/14,北京,589
2020/4/15,北京,590
2020/4/16,北京,593
2020/4/17,北京,593
2020/4/18,北京,593
2020/4/19,北京,593
2020/4/20,北京,593
2020/4/21,北京,593
2020/4/22,北京,593
2020/4/23,北京,593
2020/4/24,北京,593
2020/4/25,北京,593
2020/4/26,北京,593
2020/4/27,北京,593
2020/4/28,北京,593
2020/4/29,北京,593
2020/4/30,北京,593
2020/5/1,北京,593
2020/5/2,北京,593
2020/5/3,北京,593
2020/5/4,北京,593
2020/5/5,北京,593
2020/5/6,北京,593
2020/5/7,北京,593
2020/5/8,北京,593
2020/5/9,北京,593
2020/5/10,北京,593
2020/5/11,北京,593
2020/5/12,北京,593
2020/5/13,北京,593
2020/5/14,北京,593
2020/5/15,北京,593
2020/5/16,北京,593
2020/5/17,北京,593
2020/5/18,北京,593
2020/5/19,北京,593
2020/5/20,北京,593
2020/5/21,北京,593
2020/2/1,重庆,247
2020/2/2,重庆,300
2020/2/3,重庆,337
2020/2/4,重庆,366
2020/2/5,重庆,389
2020/2/6,重庆,411
2020/2/7,重庆,426
2020/2/8,重庆,428
2020/2/9,重庆,468
2020/2/10,重庆,486
2020/2/11,重庆,505
2020/2/12,重庆,518
2020/2/13,重庆,529
2020/2/14,重庆,537
2020/2/15,重庆,544
2020/2/16,重庆,551
2020/2/17,重庆,553
2020/2/18,重庆,555
2020/2/19,重庆,560
2020/2/20,重庆,567
2020/2/21,重庆,572
2020/2/22,重庆,573
2020/2/23,重庆,575
2020/2/24,重庆,576
2020/2/25,重庆,576
2020/2/26,重庆,576
2020/2/27,重庆,576
2020/2/28,重庆,576
2020/2/29,重庆,576
2020/3/1,重庆,576
2020/3/2,重庆,576
2020/3/3,重庆,576
2020/3/4,重庆,576
2020/3/5,重庆,576
2020/3/6,重庆,576
2020/3/7,重庆,576
2020/3/8,重庆,576
2020/3/9,重庆,576
2020/3/10,重庆,576
2020/3/11,重庆,576
2020/3/12,重庆,576
2020/3/13,重庆,576
2020/3/14,重庆,576
2020/3/15,重庆,576
2020/3/16,重庆,576
2020/3/17,重庆,576
2020/3/18,重庆,576
2020/3/19,重庆,576
2020/3/20,重庆,576
2020/3/21,重庆,576
2020/3/22,重庆,577
2020/3/23,重庆,577
2020/3/24,重庆,578
2020/3/25,重庆,578
2020/3/26,重庆,578
2020/3/27,重庆,578
2020/3/28,重庆,578
2020/3/29,重庆,579
2020/3/30,重庆,579
2020/3/31,重庆,579
2020/4/1,重庆,579
2020/4/2,重庆,579
2020/4/3,重庆,579
2020/4/4,重庆,579
2020/4/5,重庆,579
2020/4/6,重庆,579
2020/4/7,重庆,579
2020/4/8,重庆,579
2020/4/9,重庆,579
2020/4/10,重庆,579
2020/4/11,重庆,579
2020/4/12,重庆,579
2020/4/13,重庆,579
2020/4/14,重庆,579
2020/4/15,重庆,579
2020/4/16,重庆,579
2020/4/17,重庆,579
2020/4/18,重庆,579
2020/4/19,重庆,579
2020/4/20,重庆,579
2020/4/21,重庆,579
2020/4/22,重庆,579
2020/4/23,重庆,579
2020/4/24,重庆,579
2020/4/25,重庆,579
2020/4/26,重庆,579
2020/4/27,重庆,579
2020/4/28,重庆,579
2020/4/29,重庆,579
2020/4/30,重庆,579
2020/5/1,重庆,579
2020/5/2,重庆,579
2020/5/3,重庆,579
2020/5/4,重庆,579
2020/5/5,重庆,579
2020/5/6,重庆,579
2020/5/7,重庆,579
2020/5/8,重庆,579
2020/5/9,重庆,579
2020/5/10,重庆,579
2020/5/11,重庆,579
2020/5/12,重庆,579
2020/5/13,重庆,579
2020/5/14,重庆,579
2020/5/15,重庆,579
2020/5/16,重庆,579
2020/5/17,重庆,579
2020/5/18,重庆,579
2020/5/19,重庆,579
2020/5/20,重庆,579
2020/5/21,重庆,579
